planCode,planName,planBudget,branchCode,branchName,l1Code,l1Name,l2Code,l2Name,level,amount,desc,descIdx,descShared,sumMatched,nameMatched,ambiguous,orphan,multiSum,inferred,inheritedSub,headcount,comboMatched
"5257011710","科技發展工作","1,099,362","01","推動衛生福利科技發展與管理","3000","設備及投資","","","用途別一級","150","1.辦理衛生福利科技發展與管理業務及相關會議等所需行政費用，計列12,500千元（含資本門150千元）（教育訓練費100千元、通訊費320千元、資訊服務費40千元、保險費400千元、按日按件計資酬金3,000千元、委辦費6,400千元、物品240千元、一般事務費1,200千元、車輛及辦公器具養護費100千元、國內旅費400千元、運費50千元、短程車資100千元、資訊軟硬體設備費100千元、雜項設備費50千元）。","1","true","","","","","","","","",""
"5257011710","科技發展工作","1,099,362","01","推動衛生福利科技發展與管理","3000","設備及投資","3030","資訊軟硬體設備費","用途別二級","100","4.赴歐洲、北美、紐澳、亞太地區先進國家辦理之國際數位健康及精準醫療人才研習或訓練，計列900千元（教育訓練費）。","","true","","","true","","","","","",""
"5257011710","科技發展工作","1,099,362","01","推動衛生福利科技發展與管理","3000","設備及投資","3035","雜項設備費","用途別二級","50","4.赴歐洲、北美、紐澳、亞太地區先進國家辦理之國際數位健康及精準醫療人才研習或訓練，計列900千元（教育訓練費）。","","true","","","true","","","","","",""
"5257011710","科技發展工作","1,099,362","01","推動衛生福利科技發展與管理","4000","獎補助費","","","用途別一級","51000","4.赴歐洲、北美、紐澳、亞太地區先進國家辦理之國際數位健康及精準醫療人才研習或訓練，計列900千元（教育訓練費）。","","true","","","true","","","","","",""
"5257011710","科技發展工作","1,099,362","01","推動衛生福利科技發展與管理","4000","獎補助費","4030","對特種基金之補助","用途別二級","3000","5.補（捐）助學術研究機構、醫療機構、公協學會等辦理科技研究先驅規劃暨實證創新研究，計列35,000千元（對特種基金之補助3,000千元、對國內團體之捐助32,000千元）。","5","","","true","","","","","","",""
"5257011710","科技發展工作","1,099,362","01","推動衛生福利科技發展與管理","4000","獎補助費","4040","對國內團體之捐助","用途別二級","44000","","","","","","","","","","","",""
"5257011710","科技發展工作","1,099,362","01","推動衛生福利科技發展與管理","4000","獎補助費","4045","對私校之獎助","用途別二級","4000","6.捐助學術研究機構、醫療機構、公協學會等辦理國際或區域性科技研討會、科技計畫相關成果之論文發表、科技交流及科技環境建置計畫（含醫藥衛生相關之國際科技合作、人才培訓、科技展覽及建置科技期刊資源提升科技知識普及等），計列16,000千元（對國內團體之捐助12,000千元、對私校之獎助4,000千元）。","6","","","true","","","","","","",""
"5257011710","科技發展工作","1,099,362","02","健康醫藥生技轉譯臨床推動計畫","","","","","分支計畫","110562","","","","","","","","","","","",""
"5257011710","科技發展工作","1,099,362","02","健康醫藥生技轉譯臨床推動計畫","4000","獎補助費","","","用途別一級","110562","健康醫藥生技轉譯臨床推動計畫編列110,562千元，包括「新常態創新臨床試驗環境提升計畫」27,962千元、「健康大數據治理應用計畫」21,000千元、「衛生福利科技管理計畫」36,600千元及「在宅醫療科技推動計畫」25,000千元，其內容如下：","0","true","","","","","","","","",""
"5257011710","科技發展工作","1,099,362","02","健康醫藥生技轉譯臨床推動計畫","4000","獎補助費","4040","對國內團體之捐助","用途別二級","110562","健康醫藥生技轉譯臨床推動計畫編列110,562千元，包括「新常態創新臨床試驗環境提升計畫」27,962千元、「健康大數據治理應用計畫」21,000千元、「衛生福利科技管理計畫」36,600千元及「在宅醫療科技推動計畫」25,000千元，其內容如下：","0","true","","","","","","","","",""
