planCode,planName,planBudget,branchCode,branchName,l1Code,l1Name,l2Code,l2Name,level,amount,desc,descIdx,descShared,nameMatched,inheritedSub
"5829010100","一般行政","930,059","04","資訊管理","3000","設備及投資","3030","資訊軟硬體設備費","用途別二級","25721","2.設備及投資-資訊軟硬體設備費25,721千元：(1)資訊硬體設備汰換8,882千元(含資通安全經費3,800千元)：<1>汰換網路安全防護設備3,800千元。<2>汰換個人電腦、筆記型電腦及週邊設備3,200千元。<3>汰換虛擬平台伺服器1,882千元。(2)軟體購置費4,644千元：GEA微軟作業系統及Office企業授權更新1,885千元、系統軟體授權1,286千元、虛擬主機備份軟體及法規檢索系統用授權軟體1,473千元。(3)系統開發12,195千元：交通法規系統改版、交通統計資料庫系統優化、公文簽核、檔案管理、全球資訊網、會議管理等系統功能增修所需經費。","6","","","true"
"5829010500","交通運輸規劃及產業發展","973,145","01","路政業務","","","","","分支計畫","20178","","","","",""
"5829010500","交通運輸規劃及產業發展","973,145","01","路政業務","2000","業務費","","","用途別一級","20178","業務費20,178千元：","0","true","true",""
"5829010500","交通運輸規劃及產業發展","973,145","01","路政業務","2000","業務費","2036","按日按件計資酬金","用途別二級","590","1.按日按件計資酬金590千元：辦理鐵道與公路相關計畫審議、履勘、考核及法規研修等會議外聘專家學者出席費。","1","","true",""
"5829010500","交通運輸規劃及產業發展","973,145","01","路政業務","2000","業務費","2039","委辦費","用途別二級","16800","2.委辦費16,800千元：(1)委託財團法人車輛安全審驗中心代辦「車輛安全法規技術諮詢與管理資訊服務中心」之國際法規調和與研擬、維護及運作業務暨幼童專用車安全性升級規劃15,200千元。(2)籌辦金路獎頒獎典禮900千元。(3)委託辦理車輛型式安全審驗發證業務700千元。","2","","true","true"
"5829010500","交通運輸規劃及產業發展","973,145","01","路政業務","2000","業務費","2051","物品","用途別二級","100","3.物品100千元。","5","","true",""
"5829010500","交通運輸規劃及產業發展","973,145","01","路政業務","2000","業務費","2054","一般事務費","用途別二級","670","4.一般事務費670千元。","6","","true",""
"5829010500","交通運輸規劃及產業發展","973,145","01","路政業務","2000","業務費","2072","國內旅費","用途別二級","1250","5.國內旅費1,250千元。","7","","true",""
"5829010500","交通運輸規劃及產業發展","973,145","01","路政業務","2000","業務費","2078","國外旅費","用途別二級","768","6.國外旅費768千元：出席WTO、APEC等國際組織車輛安全調和工作會議、軌道建設國際會議等所需旅費。","8","","true",""
"5829010500","交通運輸規劃及產業發展","973,145","02","道路交通安全","","","","","分支計畫","384294","","","","",""
"5829010500","交通運輸規劃及產業發展","973,145","02","道路交通安全","2000","業務費","","","用途別一級","136909","2.本年度編列預算384,294千元，辦理工作項目如下：(1)業務費136,909千元：<1>資訊服務費8,100千元：辦理道安資訊查詢網更新維護費暨道安事故統計數據介接作業經費。<2>其他業務租金120千元：影印機租金等。<3>按日按件計資酬金2,300千元：中央道安會報、道安考評及專案視導等會議外聘專家學者出席費等。<4>物品100千元。<5>一般事務費125,267千元：#1.因應交通法令修正辦理深化民眾交通安全法規知識媒體政策及業務宣導費36,500千元。","1","true","",""
