planCode,planName,planBudget,branchCode,branchName,l1Code,l1Name,l2Code,l2Name,level,amount,desc,descIdx,nameMatched,descShared,inferred,headcount,inheritedSub,ambiguous,orphan,multiSum,sumMatched
"5251011200","農業科技研究發展","1,750,265","06","農業電子化","4000","獎補助費","","","用途別一級","50495","2.獎補助費50,495千元，係補助研究機構、大專院校或相關法人等，辦理全國農地覆蓋物影像分析判釋研究，農業統計分析與資料視覺化精進研究等計畫。","3","true","","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","06","農業電子化","4000","獎補助費","4025","政府機關間之補助","用途別二級","31695","","","","","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","06","農業電子化","4000","獎補助費","4030","對特種基金之補助","用途別二級","2500","","","","","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","06","農業電子化","4000","獎補助費","4040","對國內團體之捐助","用途別二級","16300","","","","","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","07","跨領域整合型科技研發","","","","","分支計畫","187036","","","","","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","07","跨領域整合型科技研發","4000","獎補助費","","","用途別一級","187036","1.獎補助費187,036千元，係補助研究機構、大專院校或相關法人等，辦理農產品採後處理與冷鏈技術研發優化與實證，安全供應鏈輔導機制優化與技術成果加值，農糧與水產體學資料整合及應用，強化關鍵技術整合研發等計畫。","2","true","true","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","07","跨領域整合型科技研發","4000","獎補助費","4025","政府機關間之補助","用途別二級","25675","","","","","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","07","跨領域整合型科技研發","4000","獎補助費","4030","對特種基金之補助","用途別二級","122583","","","","","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","07","跨領域整合型科技研發","4000","獎補助費","4040","對國內團體之捐助","用途別二級","38778","","","","","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","08","推動農業智慧化","","","","","分支計畫","174371","","","","","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","08","推動農業智慧化","2000","業務費","","","用途別一級","89678","1.業務費89,678千元，係委託學術研究機構或相關法人等，辦理智慧農業計畫成效追蹤暨策略研析，農業決策生成模組研發與建構，推動農業AI轉型輔導體系與效益展現等計畫(其中含媒體政策及業務宣導費450千元)。","2","true","true","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","08","推動農業智慧化","2000","業務費","2039","委辦費","用途別二級","89678","1.業務費89,678千元，係委託學術研究機構或相關法人等，辦理智慧農業計畫成效追蹤暨策略研析，農業決策生成模組研發與建構，推動農業AI轉型輔導體系與效益展現等計畫(其中含媒體政策及業務宣導費450千元)。","2","","true","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","08","推動農業智慧化","4000","獎補助費","","","用途別一級","84693","2.獎補助費84,693千元，係補助研究機構、大專院校或相關法人等，辦理家禽產銷智動化與服務加值化，智慧農業業界參與建立生態系，智慧農業創新研發業界科專計畫，農產業AI賦能業界參與等計畫。","3","true","","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","08","推動農業智慧化","4000","獎補助費","4030","對特種基金之補助","用途別二級","27824","","","","","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","08","推動農業智慧化","4000","獎補助費","4040","對國內團體之捐助","用途別二級","56869","","","","","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","09","強化氣候變遷調適及淨零排放研發","","","","","分支計畫","187299","","","","","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","09","強化氣候變遷調適及淨零排放研發","2000","業務費","","","用途別一級","38722","1.業務費38,722千元。","2","true","","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","09","強化氣候變遷調適及淨零排放研發","2000","業務費","2036","按日按件計資酬金","用途別二級","50","(1)專題審議之專家出席費等50千元。","3","","","true","","","","","",""
"5251011200","農業科技研究發展","1,750,265","09","強化氣候變遷調適及淨零排放研發","2000","業務費","2039","委辦費","用途別二級","37711","(2)委託學術研究機構或相關法人等，辦理對應我國淨零12項關鍵戰略-自然碳匯戰略之策略推展，推動農業循環技術發展與產業運用等計畫37,711千元。","4","","","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","09","強化氣候變遷調適及淨零排放研發","2000","業務費","2054","一般事務費","用途別二級","50","(3)各項研究報告、資料印製費等50千元。","5","","","true","","","","","",""
"5251011200","農業科技研究發展","1,750,265","09","強化氣候變遷調適及淨零排放研發","2000","業務費","2072","國內旅費","用途別二級","286","(4)國內旅費286千元。","6","true","","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","09","強化氣候變遷調適及淨零排放研發","2000","業務費","2078","國外旅費","用途別二級","625","(5)派員參加聯合國氣候變化綱要公約締約方大會，辦理跨國間農業淨零減碳與碳匯相關技術互訪與交流等國外旅費625千元。","7","true","","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","09","強化氣候變遷調適及淨零排放研發","4000","獎補助費","","","用途別一級","148577","2.獎補助費148,577千元，係補助研究機構、大專院校或相關法人等，辦理優化電動農機具與農業設施(備)之效能提升技術，農業淨零碳排科學技術及策略推展研究綱要之專案管理推動，循環農業公私協力推動，推動農業循環技術發展與產業運用等計畫。","8","true","","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","09","強化氣候變遷調適及淨零排放研發","4000","獎補助費","4030","對特種基金之補助","用途別二級","27504","","","","","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","09","強化氣候變遷調適及淨零排放研發","4000","獎補助費","4035","對外之捐助","用途別二級","3000","","","","","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","09","強化氣候變遷調適及淨零排放研發","4000","獎補助費","4040","對國內團體之捐助","用途別二級","116223","","","","","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","09","強化氣候變遷調適及淨零排放研發","4000","獎補助費","4045","對私校之獎助","用途別二級","1850","","","","","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","10","作物品種改良與蒐集","","","","","分支計畫","10051","","","","","","","","","","",""
