planCode,planName,planBudget,branchCode,branchName,l1Code,l1Name,l2Code,l2Name,level,amount,desc,descIdx,descShared,headcount,nameMatched,sumMatched,inheritedSub,orphan,multiSum,inferred,ambiguous
"5120010100","一般行政","1,620,528","03","推展一般教育及編印文教書刊","","","","","未歸戶說明","","4.本部及所屬機關（構）學校概算、預算、決算、預算籌編重點報告、立法院審議預算案收支報告、解凍報告、審查期間各階段提案說明等相關資料編印所需文具紙張、雜支等經費957千元（會計處）。","","","","","","","true","","",""
"5120010100","一般行政","1,620,528","03","推展一般教育及編印文教書刊","","","","","未歸戶說明","","5.本部教育經費分配審議委員會會務經費900千元（會計處），包括聘請學者與專家擔任委員之出席費、交通費及辦理會務所需文具紙張、雜支等。","","","","","","","true","","",""
"5120010100","一般行政","1,620,528","03","推展一般教育及編印文教書刊","","","","","未歸戶說明","","6.辦理教育統計資料蒐集及結果產製等經費15,066千元（統計處），包括：(1)辦理教育統計調查（含性別調查）等經費2,000千元，包括調查費、資料整理費、印刷費、郵費、雜費及所需人力經費。","","","","","","","true","","",""
"5120010100","一般行政","1,620,528","03","推展一般教育及編印文教書刊","","","","","未歸戶說明","","(2)辦理各級學校公務統計電腦網路報送系統等經費5,622千元，包括各級學校填報實務講習會、程式設計費、報表設計費、各縣市政府辦理公務統計網路報送系統講習會、行政院重要性別統計資料庫資料交換共通格式作業及所需人力等經費。","","","","","","","true","","",""
"5120010100","一般行政","1,620,528","03","推展一般教育及編印文教書刊","","","","","未歸戶說明","","(3)彙整並出版教育概況，另編製各教育階段學生數預測報告、國民中小學校概況統計、高級中等學校概況統計、大專校院概況統計、教育統計指標之國際比較及中華民國教育統計等電子書，並上載網站供各界參考，綜計編製及所需人力經費1,900千元、差旅費554千元。","","","","","","","true","","",""
"5120010100","一般行政","1,620,528","03","推展一般教育及編印文教書刊","","","","","未歸戶說明","","(4)辦理學生人數預測模型優化、教育統計動態視覺化平臺建置及維護、性別統計專區資訊圖表維護、教育統計作業系統功能增修及維護、學科標準分類科系歸類、教育統計國際資料趨勢研究、大專校院STEM學生人數預測，以及辦理「消除一切形式種族歧視國際公約」（ICERD）國家報告等相關教育統計，包括相關參考書刊購買及所需人力經費4,722千元。","","","","","","","true","","",""
"5120010100","一般行政","1,620,528","03","推展一般教育及編印文教書刊","","","","","未歸戶說明","","(5)與行政院主計總處、大專校院等合辦統計教育推廣活動（如統計學術研討會或統計圖競賽等）經費268千元。","","","","","","","true","","",""
"5120010100","一般行政","1,620,528","03","推展一般教育及編印文教書刊","","","","","未歸戶說明","","7.辦理本部法規疑義之研議闡釋、教師申訴案件與國家賠償業務及訴願業務等經費12,792千元（法制處），包括：(1)辦理本部法規疑義之研議闡釋，法規資料之蒐集、研議、編纂、統計及法規草案整理編印等經費1,058千元，其中：<1>按日按件計資酬金911千元，包含本部法律諮詢委員之費用36千元，以及召開法規會會議委員出席費875千元。<2>法規會委員出席會議之國內旅費87千元。<3>購置法律書籍及期刊等經費60千元。","","","","","","","true","","",""
"5120010100","一般行政","1,620,528","03","推展一般教育及編印文教書刊","","","","","未歸戶說明","","(2)辦理教師申訴及國家賠償業務等經費1,694千元，其中：<1>辦理教師申訴及國家賠償案件，召開相關會議所需經費1,478千元。<2>教師申訴評議委員會及國家賠償小組委員出席會議之國內旅費216千元。","","","","","","","true","","",""
"5120010100","一般行政","1,620,528","03","推展一般教育及編印文教書刊","2000","業務費","","","用途別一級","90012","","","","","","","","","","",""
