planCode,planName,planBudget,branchCode,branchName,l1Code,l1Name,l2Code,l2Name,level,amount,desc,headcount,descIdx,nameMatched,multiSum,descShared,inferred,ambiguous,orphan,inheritedSub,comboMatched
"3203101200","會計及決算業務","3,172","01","會計事務處理及決算核編","2000","業務費","2021","其他業務租金","用途別二級","187","2.辦理會計決算業務所需影印機租金187千元。","","2","","","","","","","",""
"3203101200","會計及決算業務","3,172","01","會計事務處理及決算核編","2000","業務費","2036","按日按件計資酬金","用途別二級","105","3.辦理政府會計理論與實務之研究作業及研修相關規制所需會議出席費等105千元。","","3","","","","","","","",""
"3203101200","會計及決算業務","3,172","01","會計事務處理及決算核編","2000","業務費","2045","國內組織會費","用途別二級","30","4.參加財團法人中華民國會計研究發展基金會團體會員會費30千元。","","4","","","","","","","",""
"3203101200","會計及決算業務","3,172","01","會計事務處理及決算核編","2000","業務費","2051","物品","用途別二級","381","5.辦理會計決算業務所需電腦耗材、碳粉匣、紙張及文具等計381千元。","","5","","","","","","","",""
"3203101200","會計及決算業務","3,172","01","會計事務處理及決算核編","2000","業務費","2054","一般事務費","用途別二級","1814","6.編印中央政府總決算暨附屬單位決算及綜計表、中央政府總預算暨附屬單位預算半年結算報告及綜計表、總決算及半年結算報告編製作業手冊等782千元；資料登錄及文書處理作業費計1,032千元，合計1,814千元。","","6","","","","","","","",""
"3203101200","會計及決算業務","3,172","01","會計事務處理及決算核編","2000","業務費","2072","國內旅費","用途別二級","151","7.派員抽查各機關決算及會計制度實施狀況之國內旅費151千元。","","7","true","","","","","","",""
"3203101200","會計及決算業務","3,172","01","會計事務處理及決算核編","2000","業務費","2078","國外旅費","用途別二級","272","8.參加第26屆OECD年度資深財務管理及報導官員研討會所需國外旅費272千元。","","8","true","","","","","","",""
"3203101200","會計及決算業務","3,172","01","會計事務處理及決算核編","2000","業務費","2081","運費","用途別二級","2","9.檔案搬運費2千元。","","9","true","","","","","","",""
"3203101200","會計及決算業務","3,172","01","會計事務處理及決算核編","2000","業務費","2084","短程車資","用途別二級","23","10.洽公短程車資23千元。","","10","true","","","","","","",""
"3203101300","綜合統計業務","27,082","01","辦理統計行政與統計標準","","","","","分支計畫","946","","","","","","","","","","",""
"3203101300","綜合統計業務","27,082","01","辦理統計行政與統計標準","2000","業務費","","","用途別一級","946","本分支計畫為辦理統計行政與統計標準經費，計編列業務費946千元，內容如下：","","0","true","","true","","","","",""
"3203101300","綜合統計業務","27,082","01","辦理統計行政與統計標準","2000","業務費","2003","教育訓練費","用途別二級","5","1.現職人員進修與業務有關課程等相關費用之補助5千元。","","1","","","","true","","","",""
"3203101300","綜合統計業務","27,082","01","辦理統計行政與統計標準","2000","業務費","2009","通訊費","用途別二級","83","2.業務聯繫用電話及郵資等費用83千元。","","2","","","","","","","",""
"3203101300","綜合統計業務","27,082","01","辦理統計行政與統計標準","2000","業務費","2018","資訊服務費","用途別二級","115","3.資訊服務費編列115千元，內容如下：(1)資訊設備維護費10千元。(2)「D-Security原始檔案保護系統」軟體升級一年授權及編輯軟體經費105千元。","","3","true","","","","","","true",""
"3203101300","綜合統計業務","27,082","01","辦理統計行政與統計標準","2000","業務費","2036","按日按件計資酬金","用途別二級","36","4.按日按件計資酬金編列36千元，內容如下：(1)邀請專家學者演講26千元。(2)統計資料審查、譯稿及撰稿等費用10千元。","","5","true","","","","","","true",""
"3203101300","綜合統計業務","27,082","01","辦理統計行政與統計標準","2000","業務費","2051","物品","用途別二級","182","5.物品182千元，內容如下：(1)訂購業務圖書、文具紙張、辦公用品及電腦耗材等135千元。(2)購買辦公椅、桌邊櫃及計算機等47千元。","","7","true","","","","","","true",""
"3203101300","綜合統計業務","27,082","01","辦理統計行政與統計標準","2000","業務費","2054","一般事務費","用途別二級","512","6.舉辦統計學術研討會等會議400千元；行業統計分類等統計資料登錄、掃描、影印及裝訂費112千元，合計512千元。","","9","","","","","","","",""
"3203101300","綜合統計業務","27,082","01","辦理統計行政與統計標準","2000","業務費","2066","器具養護費","用途別二級","2","7.辦公器具與設施等養護費4千元。","","10","","","true","","","","","true"
"3203101300","綜合統計業務","27,082","01","辦理統計行政與統計標準","2000","業務費","2069","設施及機械設備養護費","用途別二級","2","7.辦公器具與設施等養護費4千元。","","10","","","true","","","","","true"
"3203101300","綜合統計業務","27,082","01","辦理統計行政與統計標準","2000","業務費","2072","國內旅費","用途別二級","4","8.推展統計業務等所需國內旅費4千元。","","11","true","","","","","","",""
"3203101300","綜合統計業務","27,082","01","辦理統計行政與統計標準","2000","業務費","2084","短程車資","用途別二級","5","9.洽公短程車資5千元。","","12","true","","","","","","",""
"3203101300","綜合統計業務","27,082","02","辦理綜合統計","","","","","分支計畫","12652","","","","","","","","","","",""
"3203101300","綜合統計業務","27,082","02","辦理綜合統計","2000","業務費","","","用途別一級","12652","本分支計畫為辦理綜合統計經費，計編列業務費12,652千元，內容如下：","","0","true","","true","","","","",""
"3203101300","綜合統計業務","27,082","02","辦理綜合統計","2000","業務費","2009","通訊費","用途別二級","569","1.業務聯繫用電話及郵資等費用569千元。","","1","","","","","","","",""
"3203101300","綜合統計業務","27,082","02","辦理綜合統計","2000","業務費","2018","資訊服務費","用途別二級","2045","2.資訊服務費編列2,045千元，內容如下：(1)服務業營運及投資概況調查網路填報系統維護費、民間自建營繕工程調查網路填報系統前置作業維護費等250千元。(2)購買台灣經濟新報資料庫、全球總體經濟資訊分析查詢系統等1,795千元。","","2","true","","","","","","true",""
"3203101300","綜合統計業務","27,082","02","辦理綜合統計","2000","業務費","2021","其他業務租金","用途別二級","346","3.統計業務所需影印機租金346千元。","","4","","","","","","","",""
"3203101300","綜合統計業務","27,082","02","辦理綜合統計","2000","業務費","2030","兼職費","用途別二級","798","4.國民所得統計評審會聘用專家學者等所需各項兼職費798千元。","","5","true","","","","","","",""
